State/UnionTerritory,Confirmed,Cured,Deaths,Recovery Rate,Mortality Rate
Maharashtra,5433506.0,4927480.0,83777.0,90.6869339980484,1.5418589765061455
Karnataka,2272374.0,1674487.0,22838.0,73.68888219984915,1.0050282215867634
Kerala,2200706.0,1846105.0,6612.0,83.88694355356871,0.300449037717896
Tamil Nadu,1664350.0,1403052.0,18369.0,84.30029741340464,1.1036741070087421
Uttar Pradesh,1637663.0,1483249.0,18072.0,90.57107597839116,1.1035237408428962
Andhra Pradesh,1475372.0,1254291.0,9580.0,85.01523683518462,0.6493277627608495
Delhi,1402873.0,1329899.0,22111.0,94.79824617053718,1.5761227138878573
West Bengal,1171861.0,1026492.0,13576.0,87.59503046863067,1.158499173536793
Chhattisgarh,925531.0,823113.0,12036.0,88.93413618776681,1.3004426648053928
Rajasthan,879664.0,713129.0,7080.0,81.06833972971498,0.8048527619636588
Gujarat,766201.0,660489.0,9269.0,86.20309814265447,1.2097347823873892
Madhya Pradesh,742718.0,652612.0,7139.0,87.86807375073715,0.9611992707864896
Haryana,709689.0,626852.0,6923.0,88.32770410701025,0.9754977180145106
Bihar,664115.0,595377.0,4039.0,89.64968416614592,0.6081778005315345
Odisha,633302.0,536595.0,2357.0,84.7297182071113,0.3721763076699584
Telangana,536766.0,485644.0,3012.0,90.47592433201805,0.5611383731458401
Punjab,511652.0,427058.0,12317.0,83.46649675951623,2.4073002744052596
Telengana,443360.0,362160.0,2312.0,81.68531216167449,0.5214723926380368
Assam,340858.0,290774.0,2344.0,85.30649126615775,0.6876763931021129
Jharkhand,320934.0,284805.0,4601.0,88.74254519620857,1.4336280979889946
Uttarakhand,295790.0,214426.0,5132.0,72.49264681023699,1.735014706379526
Jammu and Kashmir,251919.0,197701.0,3293.0,78.47800285012246,1.307166192307845
Himachal Pradesh,166678.0,129330.0,2460.0,77.59272369478876,1.47589963882456
Goa,138776.0,112633.0,2197.0,81.16172825272382,1.5831267654349455
Puducherry,87749.0,69060.0,1212.0,78.70175158691268,1.3812123215079375
Chandigarh,56513.0,48831.0,647.0,86.40666749243537,1.144869322102879
Tripura,42776.0,36402.0,450.0,85.09912100243127,1.0519917710865907
Manipur,40683.0,33466.0,612.0,82.2604036083868,1.5043138411621562
Meghalaya,24872.0,19185.0,355.0,77.13493084593117,1.4273078160180122
Arunachal Pradesh,22462.0,19977.0,88.0,88.93687116018164,0.3917727717923604
Nagaland,18714.0,14079.0,228.0,75.23244629689003,1.2183392112856686
Ladakh,16784.0,15031.0,170.0,89.55552907530982,1.0128693994280267
Sikkim,11689.0,8427.0,212.0,72.09342116519805,1.813670972709385
Dadra and Nagar Haveli and Daman and Diu,9652.0,8944.0,4.0,92.66473269788645,0.04144218814753419
Cases being reassigned to states,9265.0,0.0,0.0,0.0,0.0
Mizoram,9252.0,7094.0,29.0,76.67531344574147,0.31344574146130566
Andaman and Nicobar Islands,6674.0,6359.0,92.0,95.28019178903206,1.3784836679652381
Lakshadweep,5212.0,3915.0,15.0,75.11511895625479,0.28779739063699156
Unassigned,77.0,0.0,0.0,0.0,0.0
Daman & Diu,2.0,0.0,0.0,0.0,0.0
